[Cycle    1] PC: 00000000 | opcode: 00 | inst_ID: 00000021 | Flush: 0 || WB_RegWrite: 0 | WB_Addr:  0 | WB_Data: 00000000
[Cycle    2] PC: 00000004 | opcode: 0f | inst_ID: 3c0158f6 | Flush: 0 || WB_RegWrite: 0 | WB_Addr:  0 | WB_Data: 00000000
[Cycle    3] PC: 00000008 | opcode: 0d | inst_ID: 3428c28c | Flush: 0 || WB_RegWrite: 0 | WB_Addr:  0 | WB_Data: 00000000
[Cycle    4] PC: 0000000c | opcode: 0f | inst_ID: 3c01c069 | Flush: 0 || WB_RegWrite: 1 | WB_Addr:  0 | WB_Data: 00000000
[Cycle    5] PC: 00000010 | opcode: 0d | inst_ID: 34294927 | Flush: 0 || WB_RegWrite: 1 | WB_Addr:  1 | WB_Data: 58f60000
[Cycle    6] PC: 00000014 | opcode: 0f | inst_ID: 3c015985 | Flush: 0 || WB_RegWrite: 1 | WB_Addr:  8 | WB_Data: 58f6c28c
[Cycle    7] PC: 00000018 | opcode: 0d | inst_ID: 342a03f5 | Flush: 0 || WB_RegWrite: 1 | WB_Addr:  1 | WB_Data: c0690000
[Cycle    8] PC: 0000001c | opcode: 0f | inst_ID: 3c01e281 | Flush: 0 || WB_RegWrite: 1 | WB_Addr:  9 | WB_Data: c0694927
[Cycle    9] PC: 00000020 | opcode: 0d | inst_ID: 342b135c | Flush: 0 || WB_RegWrite: 1 | WB_Addr:  1 | WB_Data: 59850000
[Cycle   10] PC: 00000024 | opcode: 00 | inst_ID: 014b4827 | Flush: 0 || WB_RegWrite: 1 | WB_Addr: 10 | WB_Data: 598503f5
[Cycle   11] PC: 00000028 | opcode: 00 | inst_ID: 014b4823 | Flush: 0 || WB_RegWrite: 1 | WB_Addr:  1 | WB_Data: e2810000
[Cycle   12] PC: 0000002c | opcode: 00 | inst_ID: 016a4024 | Flush: 0 || WB_RegWrite: 1 | WB_Addr: 11 | WB_Data: e281135c
[Cycle   13] PC: 00000030 | opcode: 00 | inst_ID: 014a5824 | Flush: 0 || WB_RegWrite: 1 | WB_Addr:  9 | WB_Data: 047aec02
[Cycle   14] PC: 00000034 | opcode: 00 | inst_ID: 014a5825 | Flush: 0 || WB_RegWrite: 1 | WB_Addr:  9 | WB_Data: 7703f099
[Cycle   15] PC: 00000038 | opcode: 00 | inst_ID: 01494023 | Flush: 0 || WB_RegWrite: 1 | WB_Addr:  8 | WB_Data: 40810354
[Cycle   16] PC: 0000003c | opcode: 00 | inst_ID: 016b4023 | Flush: 0 || WB_RegWrite: 1 | WB_Addr: 11 | WB_Data: 598503f5
[Cycle   17] PC: 00000040 | opcode: 00 | inst_ID: 01084026 | Flush: 0 || WB_RegWrite: 1 | WB_Addr: 11 | WB_Data: 598503f5
[Cycle   18] PC: 00000044 | opcode: 00 | inst_ID: 01484023 | Flush: 0 || WB_RegWrite: 1 | WB_Addr:  8 | WB_Data: e281135c
[Cycle   19] PC: 00000048 | opcode: 00 | inst_ID: 0108402a | Flush: 0 || WB_RegWrite: 1 | WB_Addr:  8 | WB_Data: 00000000
[Cycle   20] PC: 0000004c | opcode: 00 | inst_ID: 016a5021 | Flush: 0 || WB_RegWrite: 1 | WB_Addr:  8 | WB_Data: 00000000
[Cycle   21] PC: 00000050 | opcode: 00 | inst_ID: 01685023 | Flush: 0 || WB_RegWrite: 1 | WB_Addr:  8 | WB_Data: 598503f5
[Cycle   22] PC: 00000054 | opcode: 00 | inst_ID: 014a5823 | Flush: 0 || WB_RegWrite: 1 | WB_Addr:  8 | WB_Data: 00000000
[Cycle   23] PC: 00000058 | opcode: 00 | inst_ID: 010b4024 | Flush: 0 || WB_RegWrite: 1 | WB_Addr: 10 | WB_Data: b30a07ea
[Cycle   24] PC: 0000005c | opcode: 00 | inst_ID: 01484824 | Flush: 0 || WB_RegWrite: 1 | WB_Addr: 10 | WB_Data: 598503f5
[Cycle   25] PC: 00000060 | opcode: 00 | inst_ID: 016a582b | Flush: 0 || WB_RegWrite: 1 | WB_Addr: 11 | WB_Data: 00000000
[Cycle   26] PC: 00000064 | opcode: 00 | inst_ID: 01284824 | Flush: 0 || WB_RegWrite: 1 | WB_Addr:  8 | WB_Data: 00000000
[Cycle   27] PC: 00000068 | opcode: 00 | inst_ID: 0109482a | Flush: 0 || WB_RegWrite: 1 | WB_Addr:  9 | WB_Data: 00000000
[Cycle   28] PC: 0000006c | opcode: 00 | inst_ID: 0169582a | Flush: 0 || WB_RegWrite: 1 | WB_Addr: 11 | WB_Data: 00000001
[Cycle   29] PC: 00000070 | opcode: 00 | inst_ID: 012b4821 | Flush: 0 || WB_RegWrite: 1 | WB_Addr:  9 | WB_Data: 00000000
[Cycle   30] PC: 00000074 | opcode: 00 | inst_ID: 01284024 | Flush: 0 || WB_RegWrite: 1 | WB_Addr:  9 | WB_Data: 00000000
[Cycle   31] PC: 00000078 | opcode: 00 | inst_ID: 0169582b | Flush: 0 || WB_RegWrite: 1 | WB_Addr: 11 | WB_Data: 00000000
[Cycle   32] PC: 0000007c | opcode: 00 | inst_ID: 01695824 | Flush: 0 || WB_RegWrite: 1 | WB_Addr:  9 | WB_Data: 00000000
[Cycle   33] PC: 00000080 | opcode: 00 | inst_ID: 01294023 | Flush: 0 || WB_RegWrite: 1 | WB_Addr:  8 | WB_Data: 00000000
[Cycle   34] PC: 00000084 | opcode: 00 | inst_ID: 010b582b | Flush: 0 || WB_RegWrite: 1 | WB_Addr: 11 | WB_Data: 00000000
[Cycle   35] PC: 00000088 | opcode: 00 | inst_ID: 016a5823 | Flush: 0 || WB_RegWrite: 1 | WB_Addr: 11 | WB_Data: 00000000
[Cycle   36] PC: 0000008c | opcode: 00 | inst_ID: 012a4827 | Flush: 0 || WB_RegWrite: 1 | WB_Addr:  8 | WB_Data: 00000000
[Cycle   37] PC: 00000090 | opcode: 00 | inst_ID: 0128502b | Flush: 0 || WB_RegWrite: 1 | WB_Addr: 11 | WB_Data: 00000000
[Cycle   38] PC: 00000094 | opcode: 00 | inst_ID: 016a582a | Flush: 0 || WB_RegWrite: 1 | WB_Addr: 11 | WB_Data: a67afc0b
[Cycle   39] PC: 00000098 | opcode: 00 | inst_ID: 01485027 | Flush: 0 || WB_RegWrite: 1 | WB_Addr:  9 | WB_Data: a67afc0a
[Cycle   40] PC: 0000009c | opcode: 00 | inst_ID: 0108482a | Flush: 0 || WB_RegWrite: 1 | WB_Addr: 10 | WB_Data: 00000000
[Cycle   41] PC: 000000a0 | opcode: 00 | inst_ID: 012a5824 | Flush: 0 || WB_RegWrite: 1 | WB_Addr: 11 | WB_Data: 00000001
[Cycle   42] PC: 000000a4 | opcode: 00 | inst_ID: 016b4821 | Flush: 0 || WB_RegWrite: 1 | WB_Addr: 10 | WB_Data: ffffffff
[Cycle   43] PC: 000000a8 | opcode: 00 | inst_ID: 010a4023 | Flush: 0 || WB_RegWrite: 1 | WB_Addr:  9 | WB_Data: 00000000
[Cycle   44] PC: 000000ac | opcode: 00 | inst_ID: 016a402b | Flush: 0 || WB_RegWrite: 1 | WB_Addr: 11 | WB_Data: 00000000
[Cycle   45] PC: 000000b0 | opcode: 00 | inst_ID: 01285025 | Flush: 0 || WB_RegWrite: 1 | WB_Addr:  9 | WB_Data: 00000000
[Cycle   46] PC: 000000b4 | opcode: 00 | inst_ID: 016b4025 | Flush: 0 || WB_RegWrite: 1 | WB_Addr:  8 | WB_Data: 00000001
[Cycle   47] PC: 000000b8 | opcode: 00 | inst_ID: 016a4825 | Flush: 0 || WB_RegWrite: 1 | WB_Addr:  8 | WB_Data: 00000001
[Cycle   48] PC: 000000bc | opcode: 00 | inst_ID: 01485823 | Flush: 0 || WB_RegWrite: 1 | WB_Addr: 10 | WB_Data: 00000001
[Cycle   49] PC: 000000c0 | opcode: 00 | inst_ID: 01084823 | Flush: 0 || WB_RegWrite: 1 | WB_Addr:  8 | WB_Data: 00000000
[Cycle   50] PC: 000000c4 | opcode: 00 | inst_ID: 012a502b | Flush: 0 || WB_RegWrite: 1 | WB_Addr:  9 | WB_Data: 00000001
[Cycle   51] PC: 000000c8 | opcode: 00 | inst_ID: 0168582a | Flush: 0 || WB_RegWrite: 1 | WB_Addr: 11 | WB_Data: 00000001
[Cycle   52] PC: 000000cc | opcode: 00 | inst_ID: 0109502b | Flush: 0 || WB_RegWrite: 1 | WB_Addr:  9 | WB_Data: 00000000
[Cycle   53] PC: 000000d0 | opcode: 00 | inst_ID: 01085026 | Flush: 0 || WB_RegWrite: 1 | WB_Addr: 10 | WB_Data: 00000001
[Cycle   54] PC: 000000d4 | opcode: 00 | inst_ID: 0149482a | Flush: 0 || WB_RegWrite: 1 | WB_Addr: 11 | WB_Data: 00000000
[Cycle   55] PC: 000000d8 | opcode: 00 | inst_ID: 01095025 | Flush: 0 || WB_RegWrite: 1 | WB_Addr: 10 | WB_Data: 00000000
[Cycle   56] PC: 000000dc | opcode: 00 | inst_ID: 01084021 | Flush: 0 || WB_RegWrite: 1 | WB_Addr: 10 | WB_Data: 00000000
[Cycle   57] PC: 000000e0 | opcode: 00 | inst_ID: 016a4025 | Flush: 0 || WB_RegWrite: 1 | WB_Addr:  9 | WB_Data: 00000000
[Cycle   58] PC: 000000e4 | opcode: 00 | inst_ID: 012a4827 | Flush: 0 || WB_RegWrite: 1 | WB_Addr: 10 | WB_Data: 00000000
[Cycle   59] PC: 000000e8 | opcode: 00 | inst_ID: 010a5027 | Flush: 0 || WB_RegWrite: 1 | WB_Addr:  8 | WB_Data: 00000000
[Cycle   60] PC: 000000ec | opcode: 00 | inst_ID: 01684027 | Flush: 0 || WB_RegWrite: 1 | WB_Addr:  8 | WB_Data: 00000000
[Cycle   61] PC: 000000f0 | opcode: 00 | inst_ID: 0109482b | Flush: 0 || WB_RegWrite: 1 | WB_Addr:  9 | WB_Data: ffffffff
[Cycle   62] PC: 000000f4 | opcode: 00 | inst_ID: 01684823 | Flush: 0 || WB_RegWrite: 1 | WB_Addr: 10 | WB_Data: ffffffff
[Cycle   63] PC: 000000f8 | opcode: 00 | inst_ID: 010b5024 | Flush: 0 || WB_RegWrite: 1 | WB_Addr:  8 | WB_Data: ffffffff
[Cycle   64] PC: 000000fc | opcode: 00 | inst_ID: 014a5823 | Flush: 0 || WB_RegWrite: 1 | WB_Addr:  9 | WB_Data: 00000000
[Cycle   65] PC: 00000100 | opcode: 00 | inst_ID: 010a5025 | Flush: 0 || WB_RegWrite: 1 | WB_Addr:  9 | WB_Data: 00000001
[Cycle   66] PC: 00000104 | opcode: 00 | inst_ID: 014a5027 | Flush: 0 || WB_RegWrite: 1 | WB_Addr: 10 | WB_Data: 00000000
[Cycle   67] PC: 00000108 | opcode: 00 | inst_ID: 01084824 | Flush: 0 || WB_RegWrite: 1 | WB_Addr: 11 | WB_Data: 00000000
[Cycle   68] PC: 0000010c | opcode: 00 | inst_ID: 0149502a | Flush: 0 || WB_RegWrite: 1 | WB_Addr: 10 | WB_Data: ffffffff
[Cycle   69] PC: 00000110 | opcode: 00 | inst_ID: 012b5823 | Flush: 0 || WB_RegWrite: 1 | WB_Addr: 10 | WB_Data: 00000000
[Cycle   70] PC: 00000114 | opcode: 00 | inst_ID: 010b582a | Flush: 0 || WB_RegWrite: 1 | WB_Addr:  9 | WB_Data: ffffffff
[Cycle   71] PC: 00000118 | opcode: 00 | inst_ID: 014b5825 | Flush: 0 || WB_RegWrite: 1 | WB_Addr: 10 | WB_Data: 00000000
[Cycle   72] PC: 0000011c | opcode: 00 | inst_ID: 010b4021 | Flush: 0 || WB_RegWrite: 1 | WB_Addr: 11 | WB_Data: ffffffff
[Cycle   73] PC: 00000120 | opcode: 00 | inst_ID: 01684827 | Flush: 0 || WB_RegWrite: 1 | WB_Addr: 11 | WB_Data: 00000000
[Cycle   74] PC: 00000124 | opcode: 00 | inst_ID: 010a4027 | Flush: 0 || WB_RegWrite: 1 | WB_Addr: 11 | WB_Data: 00000000
[Cycle   75] PC: 00000128 | opcode: 00 | inst_ID: 01685024 | Flush: 0 || WB_RegWrite: 1 | WB_Addr:  8 | WB_Data: ffffffff
[Cycle   76] PC: 0000012c | opcode: 00 | inst_ID: 012b5027 | Flush: 0 || WB_RegWrite: 1 | WB_Addr:  9 | WB_Data: 00000000
[Cycle   77] PC: 00000130 | opcode: 00 | inst_ID: 012a402a | Flush: 0 || WB_RegWrite: 1 | WB_Addr:  8 | WB_Data: 00000000
[Cycle   78] PC: 00000134 | opcode: 00 | inst_ID: 016b4827 | Flush: 0 || WB_RegWrite: 1 | WB_Addr: 10 | WB_Data: 00000000
[Cycle   79] PC: 00000138 | opcode: 00 | inst_ID: 0169502b | Flush: 0 || WB_RegWrite: 1 | WB_Addr: 10 | WB_Data: ffffffff
